date,daily_revenue
2024-09-28,2292.64
2024-09-29,1988.016
2024-09-30,1828.6499999999999
2024-10-01,811.678
2024-10-02,623.18
2024-10-03,1503.438
2024-10-04,752.704
2024-10-05,1693.76
2024-10-06,916.678
2024-10-07,2503.33
2024-10-08,1256.398
2024-10-09,2046.23
2024-10-10,3205.698
2024-10-11,2133.208
2024-10-12,3499.118
2024-10-13,1873.544
2024-10-14,2890.316
2024-10-15,2125.866
2024-10-16,2499.904
2024-10-17,1943.858
2024-10-18,2518.822
2024-10-19,2315.52
2024-10-20,2988.0699999999997
2024-10-21,2554.07
2024-10-22,3242.268
2024-10-23,1824.456
2024-10-24,2509.898
2024-10-25,2221.404
2024-10-26,2647.052
2024-10-27,3144.078
2024-10-28,2557.67
2024-10-29,1808.536
2024-10-30,1879.998
2024-10-31,2718.498
2024-11-01,858.98
2024-11-02,1387.488
2024-11-03,1666.03
2024-11-04,749.31
2024-11-05,1460.46
2024-11-06,1298.4
2024-11-07,1222.83
2024-11-08,1570.156
2024-11-09,3283.9179999999997
2024-11-10,2010.796
2024-11-11,2609.15
2024-11-12,2640.516
2024-11-13,1946.628
2024-11-14,3911.974
2024-11-15,2548.868
2024-11-16,3087.366
2024-11-17,2655.082
2024-11-18,1990.8899999999999
2024-11-19,2829.66
2024-11-20,2169.56
2024-11-21,3159.4519999999998
2024-11-22,2437.31
2024-11-23,2985.824
2024-11-24,2320.072
2024-11-25,1854.758
2024-11-26,1775.556
2024-11-27,1743.42
2024-11-28,1885.568
2024-11-29,2078.52
2024-11-30,2702.776
2024-12-01,812.2379999999999
2024-12-02,898.69
2024-12-03,753.93
2024-12-04,2031.628
2024-12-05,1599.72
2024-12-06,1453.118
2024-12-07,1437.97
2024-12-08,2096.592
2024-12-09,2730.12
2024-12-10,2526.828
2024-12-11,3157.196
2024-12-12,2515.648
2024-12-13,2371.838
2024-12-14,2113.398
2024-12-15,2889.278
2024-12-16,1556.716
2024-12-17,2774.308
2024-12-18,2318.55
2024-12-19,2322.792
2024-12-20,1973.938
2024-12-21,2045.7659999999998
2024-12-22,2282.21
2024-12-23,3082.706
2024-12-24,2786.132
2024-12-25,1990.866
2024-12-26,2309.762
2024-12-27,2487.22
2024-12-28,1888.648
2024-12-29,2302.78
2024-12-30,2716.198
2024-12-31,3205.33
2025-01-01,2587.0099999999998
2025-01-02,2984.2
2025-01-03,3005.2039999999997
2025-01-04,2655.52
2025-01-05,1728.66
2025-01-06,1654.95
2025-01-07,670.54
2025-01-08,804.73
2025-01-09,1304.114
2025-01-10,271.9
2025-01-11,381.64
2025-01-12,836.464
2025-01-13,2629.032
2025-01-14,2641.23
2025-01-15,1811.676
2025-01-16,2531.38
2025-01-17,3228.026
2025-01-18,2591.54
2025-01-19,2456.12
2025-01-20,1725.1399999999999
2025-01-21,3509.696
2025-01-22,1717.26
2025-01-23,2425.656
2025-01-24,2749.786
2025-01-25,3423.408
2025-01-26,1893.978
2025-01-27,2890.68
2025-01-28,2506.528
2025-01-29,2593.75
2025-01-30,1827.08
2025-01-31,3109.328
2025-02-01,3271.578
2025-02-02,994.38
2025-02-03,3071.968
2025-02-04,1534.792
2025-02-05,2292.466
2025-02-06,634.1800000000001
2025-02-07,1472.862
2025-02-08,696.978
2025-02-09,588.95
2025-02-10,588.8
2025-02-11,963.54
2025-02-12,582.75
2025-02-13,2625.45
2025-02-14,2335.642
2025-02-15,2338.626
2025-02-16,1967.098
2025-02-17,1919.218
2025-02-18,1752.656
2025-02-19,1986.812
2025-02-20,1562.578
2025-02-21,2454.69
2025-02-22,2132.808
2025-02-23,2234.188
2025-02-24,1548.5819999999999
2025-02-25,2410.0879999999997
2025-02-26,1032.42
2025-02-27,2303.6259999999997
2025-02-28,1795.482
2025-03-01,1832.26
2025-03-02,1687.856
2025-03-03,1951.404
2025-03-04,1463.946
2025-03-05,1263.19
2025-03-06,669.1179999999999
2025-03-07,565.75
2025-03-08,706.002
2025-03-09,465.938
2025-03-10,1092.54
2025-03-11,502.27
2025-03-12,602.94
2025-03-13,1653.72
2025-03-14,2272.004
2025-03-15,1835.608
2025-03-16,1623.13
2025-03-17,1397.676
2025-03-18,1117.04
2025-03-19,1538.478
2025-03-20,1823.6399999999999
2025-03-21,1934.258
2025-03-22,1279.446
2025-03-23,2768.174
2025-03-24,1426.44
2025-03-25,2407.548
2025-03-26,1100.074
2025-03-27,1322.09
2025-03-28,1872.1979999999999
2025-03-29,2116.348
2025-03-30,2359.726
2025-03-31,1809.2
2025-04-01,2106.968
2025-04-02,1445.998
2025-04-03,1768.35
2025-04-04,1475.59
2025-04-05,852.266
2025-04-06,822.4879999999999
2025-04-07,1180.94
2025-04-08,1156.4
2025-04-09,313.38
2025-04-10,700.84
2025-04-11,448.676
2025-04-12,595.15
2025-04-13,1791.62
2025-04-14,1168.05
2025-04-15,1255.092
2025-04-16,1664.358
2025-04-17,1106.44
2025-04-18,1818.204
2025-04-19,1603.6299999999999
2025-04-20,1190.018
2025-04-21,1042.066
2025-04-22,2015.32
2025-04-23,784.04
2025-04-24,1450.5159999999998
2025-04-25,1574.078
2025-04-26,790.3199999999999
2025-04-27,1528.8
2025-04-28,1534.54
2025-04-29,1310.8
2025-04-30,1392.818
2025-05-01,2328.71
2025-05-02,2181.64
2025-05-03,1585.518
2025-05-04,1532.68
2025-05-05,986.716
2025-05-06,880.44
2025-05-07,510.97
2025-05-08,868.044
2025-05-09,353.09
2025-05-10,593.31
2025-05-11,60.89999999999999
2025-05-12,411.9
2025-05-13,2250.54
2025-05-14,997.43
2025-05-15,738.9
2025-05-16,959.87
2025-05-17,1287.9
2025-05-18,899.256
2025-05-19,1075.25
2025-05-20,993.966
2025-05-21,1160.0539999999999
2025-05-22,1554.626
2025-05-23,1161.628
2025-05-24,1212.616
2025-05-25,1025.668
2025-05-26,1155.042
2025-05-27,980.59
2025-05-28,1079.84
2025-05-29,1188.878
2025-05-30,1154.278
2025-05-31,634.956
2025-06-01,2657.842
2025-06-02,2073.518
2025-06-03,1502.254
2025-06-04,1701.5259999999998
2025-06-05,1941.546
2025-06-06,860.328
2025-06-07,854.6
2025-06-08,348.6
2025-06-09,386.3
2025-06-10,280.75
2025-06-11,83.5
2025-06-12,279.54999999999995
2025-06-13,520.3
2025-06-14,699.74
2025-06-15,607.826
2025-06-16,865.03
2025-06-17,1117.5
2025-06-18,925.008
2025-06-19,688.6659999999999
2025-06-20,474.81399999999996
2025-06-21,868.02
2025-06-22,502.28
2025-06-23,921.176
2025-06-24,758.414
2025-06-25,590.86
2025-06-26,390.9
2025-06-27,500.34999999999997
2025-06-28,449.5
2025-06-29,558.98
2025-06-30,914.65
2025-07-01,2084.572
2025-07-02,1717.1399999999999
2025-07-03,1682.5079999999998
2025-07-04,1629.074
2025-07-05,799.138
2025-07-06,815.9
2025-07-07,1501.848
2025-07-08,432.73
2025-07-09,307.976
2025-07-10,113.99
2025-07-11,286.914
2025-07-12,176.75
2025-07-13,266.85
2025-07-14,649.35
2025-07-15,474.45
2025-07-16,252.19
2025-07-17,598.55
2025-07-18,665.44
2025-07-19,1123.83
2025-07-20,376.44
2025-07-21,522.85
2025-07-22,427.878
2025-07-23,864.7760000000001
2025-07-24,692.8
2025-07-25,331.25
2025-07-26,423.0
2025-07-27,271.75
2025-07-28,899.05
2025-07-29,249.99
2025-07-30,585.4
2025-07-31,562.48
2025-08-01,947.28
2025-08-02,1192.05
2025-08-03,1179.85
2025-08-04,1450.29
2025-08-05,699.098
2025-08-06,1101.83
2025-08-07,543.008
2025-08-08,295.98
2025-08-09,421.6
2025-08-10,45.75
2025-08-11,251.19
2025-08-13,160.026
2025-08-14,459.014
2025-08-15,343.4
2025-08-16,240.55
2025-08-18,157.9
2025-08-19,144.2
2025-08-20,495.9
2025-08-21,165.75
2025-08-23,436.09999999999997
2025-08-24,124.5
2025-08-25,86.088
2025-08-26,300.53
2025-08-27,115.0
2025-08-28,136.68
2025-08-29,263.5
2025-08-30,210.97
2025-08-31,268.1
2025-09-01,1752.472
2025-09-02,837.396
2025-09-03,573.62
2025-09-04,1197.118
2025-09-05,536.43
2025-09-06,692.568
2025-09-07,491.4
2025-09-08,233.076
2025-09-10,49.0
2025-09-11,173.7
2025-09-12,224.05
2025-09-13,119.25
2025-09-14,130.15
2025-09-15,467.4
2025-09-16,51.0
2025-09-17,108.75
2025-09-18,492.26599999999996
2025-09-21,90.95
2025-09-22,673.74
2025-09-23,229.5
2025-09-24,126.24
2025-09-25,59.25
2025-09-27,21.599999999999998
2025-09-29,89.99
2025-09-30,163.8
2025-10-01,1426.22
2025-10-02,2481.848
2025-10-03,2140.168
2025-10-04,1223.91
2025-10-05,883.29
2025-10-06,830.1
2025-10-07,493.78
2025-10-08,405.75
2025-10-09,112.8
2025-10-10,29.0
2025-10-11,49.25
2025-10-13,195.0
2025-10-15,77.68799999999999
2025-10-16,23.99
2025-10-18,256.79999999999995
2025-10-19,195.0
2025-10-20,85.2
2025-10-22,22.0
2025-10-25,65.0
2025-10-30,94.19999999999999
2025-11-01,1527.316
2025-11-02,891.078
2025-11-03,1680.62
2025-11-04,1322.45
2025-11-05,385.08799999999997
2025-11-06,282.7
2025-11-07,466.89
2025-11-08,98.89
2025-11-10,168.6
2025-12-01,1592.868
2025-12-02,2019.616
2025-12-03,1356.454
2025-12-04,1060.95
2025-12-05,1022.3199999999999
2025-12-06,454.726
2025-12-07,270.28000000000003
2025-12-08,108.0
2025-12-09,111.24000000000001
